id,name,partner_type,is_company,promotion_id/id,sex,parent_id/id,links_by_student,vat
res_partner_flia_garcia,Familia García,family,False,,,,,20240001
res_partner_flia_rodriguez,Familia Rodríguez,family,False,,,,True,20240002
res_partner_flia_martinez,Familia Martínez,family,False,,,,,20240003
res_partner_flia_lopez,Familia López,family,False,,,,,20240004
res_partner_flia_gonzalez,Familia González,family,False,,,,,20240005
res_partner_flia_fernandez,Familia Fernández,family,False,,,,,20240006
res_partner_prof_ana_silva,Ana Silva,teacher,False,,F,,,20240101
res_partner_prof_carlos_mendez,Carlos Méndez,teacher,False,,M,,,20240102
res_partner_prof_maria_torres,María Torres,teacher,False,,F,,,20240103
res_partner_prof_juan_perez,Juan Pérez,teacher,False,,M,,,20240104
res_partner_prof_laura_diaz,Laura Díaz,teacher,False,,F,,,20240105
res_partner_sofia_garcia,Sofía García,student,False,academic_promotion_1,F,res_partner_flia_garcia,,20240201
res_partner_mateo_garcia,Mateo García,student,False,academic_promotion_2,M,res_partner_flia_garcia,,20240202
res_partner_valentina_rodriguez,Valentina Rodríguez,student,False,academic_promotion_1,F,res_partner_flia_rodriguez,,20240203
res_partner_santiago_rodriguez,Santiago Rodríguez,student,False,academic_promotion_1,M,res_partner_flia_rodriguez,,20240204
res_partner_emma_martinez,Emma Martínez,student,False,academic_promotion_1,F,res_partner_flia_martinez,,20240205
res_partner_thiago_martinez,Thiago Martínez,student,False,academic_promotion_2,M,res_partner_flia_martinez,,20240206
res_partner_martina_lopez,Martina López,student,False,academic_promotion_1,F,res_partner_flia_lopez,,20240207
res_partner_bautista_lopez,Bautista López,student,False,academic_promotion_1,M,res_partner_flia_lopez,,20240208
res_partner_isabella_gonzalez,Isabella González,student,False,academic_promotion_2,F,res_partner_flia_gonzalez,,20240209
res_partner_benjamin_gonzalez,Benjamín González,student,False,academic_promotion_2,M,res_partner_flia_gonzalez,,20240210
res_partner_camila_fernandez,Camila Fernández,student,False,academic_promotion_1,F,res_partner_flia_fernandez,,20240211
res_partner_lucas_fernandez,Lucas Fernández,student,False,academic_promotion_2,M,res_partner_flia_fernandez,,20240212
res_partner_carlos_garcia,Carlos García,parent,False,,M,,,20240301
res_partner_ana_garcia,Ana García,parent,False,,F,,,20240302
res_partner_miguel_rodriguez,Miguel Rodríguez,parent,False,,M,,,20240303
res_partner_patricia_rodriguez,Patricia Rodríguez,parent,False,,F,,,20240304
res_partner_daniel_martinez,Daniel Martínez,parent,False,,M,,,20240305
res_partner_claudia_martinez,Claudia Martínez,parent,False,,F,,,20240306
res_partner_ricardo_lopez,Ricardo López,parent,False,,M,,,20240307
res_partner_monica_lopez,Mónica López,parent,False,,F,,,20240308
res_partner_sergio_gonzalez,Sergio González,parent,False,,M,,,20240309
res_partner_silvia_gonzalez,Silvia González,parent,False,,F,,,20240310
res_partner_eduardo_fernandez,Eduardo Fernández,parent,False,,M,,,20240311
res_partner_veronica_fernandez,Verónica Fernández,parent,False,,F,,,20240312
res_partner_director_general,Director General,administrator,False,,M,,,20240401
res_partner_secretaria_academica,Secretaria Académica,administrator,False,,F,,,20240402
res_partner_coordinador_primaria,Coordinador Primaria,administrator,False,,M,,,20240403
res_partner_coordinadora_secundaria,Coordinadora Secundaria,administrator,False,,F,,,20240404
