id,student_id/id,partner_id/id,relationship_id/id,role_ids/id,note
res_partner_link_family_1_mother_1,res_partner_family_1,res_partner_mother_1,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role",
res_partner_link_family_1_father_1,res_partner_family_1,res_partner_father_1,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_2_mother_2,res_partner_family_2,res_partner_mother_2,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_2_father_2,res_partner_family_2,res_partner_father_2,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role",
res_partner_link_family_3_mother_3,res_partner_family_3,res_partner_mother_3,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_3_father_3,res_partner_family_3,res_partner_father_3,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role",
res_partner_link_family_4_mother_4,res_partner_family_4,res_partner_mother_4,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_4_father_4,res_partner_family_4,res_partner_father_4,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role",
res_partner_link_family_5_mother_5,res_partner_family_5,res_partner_mother_5,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_5_father_5,res_partner_family_5,res_partner_father_5,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role",
res_partner_link_family_6_mother_6,res_partner_family_6,res_partner_mother_6,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_6_father_6,res_partner_family_6,res_partner_father_6,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role",
res_partner_link_family_7_mother_7,res_partner_family_7,res_partner_mother_7,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_7_father_7,res_partner_family_7,res_partner_father_7,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role",
res_partner_link_family_8_mother_8,res_partner_family_8,res_partner_mother_8,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_8_father_8,res_partner_family_8,res_partner_father_8,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role",
res_partner_link_family_9_mother_9,res_partner_family_9,res_partner_mother_9,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_9_father_9,res_partner_family_9,res_partner_father_9,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role",
res_partner_link_family_10_mother_10,res_partner_family_10,res_partner_mother_10,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role,academic.paying_role",
res_partner_link_family_10_father_10,res_partner_family_10,res_partner_father_10,academic.parent_relationship,"academic.emergency_contact_role,academic.withdraw_role"
